customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
1,,Female,North,Primary,Salaried,1077610.09,664785.7,Car,700.8,11,461,56.36,2024-08-15,0
2,,Female,East,Primary,Salaried,807240.03,564159.13,Business,687.7,10,364,56.32,2020-06-21,0
3,,Other,West,Primary,Self-Employed,663601.61,,Home,734.8,5,438,39.24,2020-12-19,0
4,56.0,Male,South,Graduate,Salaried,875676.45,40513.55,Car,574.6,5,300,26.34,2018-10-12,1
5,27.0,Other,South,Secondary,Salaried,459448.99,587944.74,Business,714.2,10,141,69.65,2025-08-31,1
6,45.0,Male,North,Graduate,Self-Employed,939802.92,740480.04,Education,631.7,3,355,37.56,2018-08-18,0
7,25.0,,South,Graduate,Unemployed,874233.92,980352.13,Other,639.6,6,457,87.74,2023-02-23,1
8,48.0,,South,Secondary,Unemployed,1102267.96,258065.9,Business,709.1,2,265,51.95,2018-07-12,0
9,59.0,Other,East,Graduate,Salaried,971015.59,495261.78,Education,496.8,0,353,71.26,2025-08-24,0
10,48.0,Male,East,Secondary,Salaried,554723.96,799989.54,Education,682.3,11,139,92.61,2020-01-02,1
11,69.0,Female,South,Primary,Salaried,1092081.58,926100.43,Other,762.5,7,14,19.51,2022-01-26,0
12,26.0,Other,West,Secondary,Self-Employed,501277.36,305680.07,Other,682.3,12,277,75.1,2019-06-10,0
13,59.0,Other,West,Primary,Salaried,516692.55,480097.96,Car,674.1,4,209,94.59,2025-04-15,1
14,25.0,Male,South,Primary,Salaried,500536.62,246323.3,Education,653.3,3,8,16.03,2025-01-28,0
15,25.0,Female,South,Primary,,458573.24,382057.8,Business,571.2,9,300,50.18,2023-04-22,1
16,43.0,Male,West,Graduate,Salaried,582638.98,10000.0,Car,703.3,10,339,93.65,2019-02-08,0
17,33.0,Male,North,Primary,Salaried,820105.66,653766.23,Car,670.5,1,231,78.68,2024-03-04,0
18,31.0,Female,West,Graduate,Self-Employed,923807.6,10000.0,Other,696.4,0,89,42.21,2022-05-19,0
19,63.0,Male,West,Secondary,Salaried,665690.16,257856.4,Other,770.3,8,36,73.58,2018-08-23,0
20,26.0,Male,North,Primary,Self-Employed,622896.28,485235.9,Other,691.0,3,211,20.19,2024-05-22,0
21,57.0,Male,North,Post-Graduate,Unemployed,50000.0,316680.49,Other,669.1,6,72,67.09,2021-05-13,1
22,27.0,Male,West,Graduate,Unemployed,483422.57,445032.03,Other,733.5,5,456,15.85,2020-09-27,1
23,21.0,Male,East,Graduate,Unemployed,511713.69,123451.28,Car,794.3,4,64,85.63,2024-03-16,0
24,66.0,Male,West,Graduate,Salaried,1072919.67,212675.74,Home,553.4,8,255,31.35,2018-07-28,1
25,42.0,Other,South,Primary,Self-Employed,756515.29,47168.51,Other,675.1,6,292,10.82,2018-11-05,0
26,56.0,Male,North,Graduate,Unemployed,320570.33,549419.44,Business,723.1,12,445,13.39,2022-01-05,1
27,60.0,Other,East,Post-Graduate,Unemployed,697754.37,10000.0,Car,745.6,2,456,45.05,2020-01-05,0
28,38.0,Female,East,Graduate,Salaried,1158844.9,326015.29,Car,614.5,0,444,50.01,2020-03-28,0
29,22.0,Other,East,Primary,Salaried,537980.93,187150.92,Education,789.3,5,333,53.3,2025-08-15,0
30,32.0,Female,North,Post-Graduate,Unemployed,918372.87,469455.93,Car,678.0,9,227,39.38,2021-07-08,0
31,37.0,Female,North,Graduate,Unemployed,1008692.31,473662.13,Education,717.1,11,382,67.0,2022-01-31,0
32,63.0,Other,South,Secondary,Self-Employed,271354.35,360088.48,Business,621.9,4,346,44.71,2022-07-07,1
33,64.0,Other,East,Post-Graduate,Self-Employed,697825.68,245416.95,Business,569.8,4,151,27.87,2024-07-03,0
34,64.0,Female,East,Primary,Salaried,1016237.44,10000.0,Education,705.3,12,381,24.42,2018-12-14,0
35,35.0,Other,South,Post-Graduate,Self-Employed,,267660.55,Business,775.7,12,42,48.71,2025-01-23,0
36,36.0,Male,South,Post-Graduate,Salaried,658445.31,198251.48,Other,543.3,12,458,19.06,2022-10-08,1
37,36.0,,West,Post-Graduate,Salaried,832542.78,336971.53,Business,596.0,8,309,36.97,2022-12-18,1
38,49.0,Male,East,Post-Graduate,Salaried,781354.73,406177.81,Education,779.7,12,403,54.31,2025-01-11,0
