customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,income_group,credit_score_binary,income_quantile,income_cluster,income_log,loan_reciprocal,transaction_sqrt,income_boxcox,loan_yeojohnson,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
1,45.29416362084085,Female,North,Primary,Salaried,1077610.09,664785.7,Car,700.8,11,461,56.36,2024-08-15,0,Very High,1.0,Q4-High,2.0,13.890257195413605,1.5042441496560447e-06,21.470910553583888,472523.154420202,43041.981364452215,0.6169074567592439,76.83333333333333,0.5636
2,45.468087642292154,Female,East,Primary,Salaried,807240.03,564159.13,Business,687.7,10,364,56.32,2020-06-21,0,High,0.0,Q3,0.0,13.601377576759466,1.7725495287118692e-06,19.078784028338912,360585.7987390085,37888.2546398152,0.6988740759052794,60.666666666666664,0.5632
3,45.66405014916793,Other,West,Primary,Self-Employed,663601.61,405072.14523004997,Home,734.8,5,438,39.24,2020-12-19,0,High,1.0,Q2,1.0,13.405438770382917,2.468696037917083e-06,20.92844953645635,300171.6362832045,29289.45651191627,0.6104146510887006,73.0,0.3924
4,56.0,Male,South,Graduate,Salaried,875676.45,40513.55,Car,574.6,5,300,26.34,2018-10-12,1,High,0.0,Q3,0.0,13.682753094350849,2.4683099851777377e-05,17.320508075688775,389119.97756334435,4893.9223949438765,0.046265432854794716,50.0,0.2634
5,27.0,Other,South,Secondary,Salaried,459448.99,587944.74,Business,714.2,10,141,69.65,2025-08-31,1,Medium,1.0,Q1-Low,1.0,13.037785379163877,1.7008401163687563e-06,11.874342087037917,212783.22867562552,39123.779030864076,1.2796735933623447,23.5,0.6965
6,45.0,Male,North,Graduate,Self-Employed,939802.92,740480.04,Education,631.7,3,355,37.56,2018-08-18,0,High,0.0,Q4-High,0.0,13.753426536742387,1.350475294377953e-06,18.841443681416774,415727.3467797413,46803.93596226013,0.787909916262018,59.166666666666664,0.37560000000000004
8,48.0,Other,South,Secondary,Unemployed,1102267.96,258065.9,Business,709.1,2,265,51.95,2018-07-12,0,Very High,1.0,Q4-High,2.0,13.912881304251652,3.874979220423916e-06,16.278820596099706,482634.77235275,20632.982904933957,0.23412265380552294,44.166666666666664,0.5195000000000001
9,59.0,Other,East,Graduate,Salaried,971015.59,495261.78,Education,496.8,0,353,71.26,2025-08-24,0,High,0.0,Q4-High,2.0,13.786098832606395,2.019134204137452e-06,18.788294228055936,428635.5366722673,34241.24961526721,0.5100451373803381,58.833333333333336,0.7126
10,48.0,Male,East,Secondary,Salaried,554723.96,799989.54,Education,682.3,11,139,92.61,2020-01-02,1,Medium,0.0,Q2,1.0,13.226227702326813,1.2500163439636956e-06,11.789826122551595,253822.18546144388,49701.365378375136,1.4421398707926734,23.166666666666668,0.9261
12,26.0,Other,West,Secondary,Self-Employed,501277.36,305680.07,Other,682.3,12,277,75.1,2019-06-10,0,Medium,0.0,Q1-Low,1.0,13.124916834556027,3.271394173653509e-06,16.64331697709324,230861.70269623914,23534.471095381476,0.6098022659551192,46.166666666666664,0.7509999999999999
13,59.0,Other,West,Primary,Salaried,516692.55,480097.96,Car,674.1,4,209,94.59,2025-04-15,1,Medium,0.0,Q2,1.0,13.155205231131752,2.082908246475361e-06,14.45683229480096,237499.43497318603,33423.78407832725,0.9291753093788561,34.833333333333336,0.9459000000000001
14,25.0,Male,South,Primary,Salaried,500536.62,246323.3,Education,653.3,3,8,16.03,2025-01-28,0,Medium,0.0,Q1-Low,1.0,13.123438039747843,4.059705273516537e-06,2.8284271247461903,230542.41584545028,19899.66502339343,0.49211843880673506,1.3333333333333333,0.1603
15,25.0,Female,South,Primary,Self-Employed,458573.24,382057.8,Business,571.2,9,300,50.18,2023-04-22,1,Medium,0.0,Q1-Low,1.0,13.035877476873214,2.6174050104460567e-06,17.320508075688775,212403.62726843834,27987.983668278048,0.8331445594165067,50.0,0.5018
16,43.0,Male,West,Graduate,Salaried,582638.98,10000.0,Car,703.3,10,339,93.65,2019-02-08,0,Medium,1.0,Q2,1.0,13.275324744565282,9.999999999998999e-05,18.411952639521967,265757.1797087108,1649.456042947427,0.01716328694657539,56.5,0.9365000000000001
17,33.0,Male,North,Primary,Salaried,820105.66,653766.23,Car,670.5,1,231,78.68,2024-03-04,0,High,0.0,Q3,0.0,13.617189683952386,1.529598737456963e-06,15.198684153570664,365961.5154921847,42486.5597081558,0.7971731715642592,38.5,0.7868
18,31.0,Female,West,Graduate,Self-Employed,923807.6,10000.0,Other,696.4,0,89,42.21,2022-05-19,0,High,0.0,Q4-High,0.0,13.736260186309634,9.999999999998999e-05,9.433981132056603,409101.779735567,1649.456042947427,0.010824764810334966,14.833333333333334,0.42210000000000003
19,63.0,Male,West,Secondary,Salaried,665690.16,257856.4,Other,770.3,8,36,73.58,2018-08-23,0,High,1.0,Q2,1.0,13.408581118245705,3.878127515935211e-06,6.0,301055.7002783196,20619.965871900094,0.3873519776828307,6.0,0.7358
20,26.0,Male,North,Primary,Self-Employed,622896.28,485235.9,Other,691.0,3,211,20.19,2024-05-22,0,High,0.0,Q2,1.0,13.342136904560684,2.060853288060504e-06,14.52583904633395,282905.05704760796,33701.40118502445,0.7789995149754306,35.166666666666664,0.20190000000000002
21,57.0,Male,North,Post-Graduate,Unemployed,50000.0,316680.49,Other,669.1,6,72,67.09,2021-05-13,1,Low,0.0,Q1-Low,3.0,10.819798284210286,3.1577568924438537e-06,8.48528137423857,26694.53473840472,24189.982080088383,6.3336098,12.0,0.6709
22,27.0,Male,West,Graduate,Unemployed,483422.57,445032.03,Other,733.5,5,456,15.85,2020-09-27,1,Medium,1.0,Q1-Low,1.0,13.088648504854739,2.247029275623145e-06,21.354156504062622,223157.07873510008,31510.894598186158,0.9205859585745035,76.0,0.1585
23,21.0,Male,East,Graduate,Unemployed,511713.69,123451.28,Car,794.3,4,64,85.63,2024-03-16,0,Medium,1.0,Q2,1.0,13.145522502608587,8.10036153533598e-06,8.0,235356.96029143885,11633.587627385545,0.2412506884465022,10.666666666666666,0.8563
24,66.0,Male,West,Graduate,Salaried,1072919.67,212675.74,Home,553.4,8,255,31.35,2018-07-28,1,Very High,0.0,Q4-High,2.0,13.885895085981248,4.701993748793329e-06,15.968719422671311,470598.05265550036,17753.27294230521,0.1982214940658139,42.5,0.3135
25,42.0,Other,South,Primary,Self-Employed,756515.29,47168.51,Other,675.1,6,292,10.82,2018-11-05,0,High,0.0,Q3,0.0,13.536479345356105,2.1200584881735268e-05,17.08800749063506,339336.72166565945,5507.978126724311,0.06234971139843056,48.666666666666664,0.1082
26,56.0,Male,North,Graduate,Unemployed,320570.33,549419.44,Business,723.1,12,445,13.39,2022-01-05,1,Medium,1.0,Q1-Low,3.0,12.677860089082733,1.8201030527787625e-06,21.095023109728988,151930.80690505268,37116.793573938055,1.7138811317940743,74.16666666666667,0.13390000000000002
27,60.0,Other,East,Post-Graduate,Unemployed,697754.37,10000.0,Car,745.6,2,456,45.05,2020-01-05,0,High,1.0,Q2,0.0,13.455623847535202,9.999999999998999e-05,21.354156504062622,314606.21021764167,1649.456042947427,0.01433169096454387,76.0,0.45049999999999996
28,38.0,Female,East,Graduate,Salaried,1158844.9,326015.29,Car,614.5,0,444,50.01,2020-03-28,0,Very High,0.0,Q4-High,2.0,13.962935154034199,3.067340798647809e-06,21.071307505705477,505781.41961305245,24742.263162135117,0.2813278032288877,74.0,0.5001
29,22.0,Other,East,Primary,Salaried,537980.93,187150.92,Education,789.3,5,333,53.3,2025-08-15,0,Medium,1.0,Q2,1.0,13.195580251219258,5.3432812406158335e-06,18.24828759089466,246645.36629774168,16074.24523870685,0.34787649443261864,55.5,0.5329999999999999
30,32.0,Female,North,Post-Graduate,Unemployed,918372.87,469455.93,Car,678.0,9,227,39.38,2021-07-08,0,High,0.0,Q4-High,0.0,13.73035985248763,2.130125398565096e-06,15.066519173319364,406848.94226997136,32846.64607979445,0.5111822717498177,37.833333333333336,0.39380000000000004
31,37.0,Female,North,Graduate,Unemployed,1008692.31,473662.13,Education,717.1,11,382,67.0,2022-01-31,0,Very High,1.0,Q4-High,2.0,13.824166298721934,2.111209523970172e-06,19.544820285692065,444181.64417356864,33075.101573840395,0.46958039166572013,63.666666666666664,0.67
32,63.0,Other,South,Secondary,Self-Employed,271354.35,360088.48,Business,621.9,4,346,44.71,2022-07-07,1,Low,0.0,Q1-Low,3.0,12.511184495530834,2.7770952294835906e-06,18.601075237738275,129987.15087073487,26729.196788949772,1.3270046343461972,57.666666666666664,0.4471
33,64.0,Other,East,Post-Graduate,Self-Employed,697825.68,245416.95,Business,569.8,4,151,27.87,2024-07-03,0,High,0.0,Q2,0.0,13.455726041455025,4.074698182012269e-06,12.288205727444508,314636.301039558,19842.743988869,0.35168804621807553,25.166666666666668,0.2787
