Date,Activity Type,Duration,Calories Burned
2026-03-01,Running,30,300
2026-03-01,Yoga,45,180
2026-03-02,Cycling,40,350
2026-03-02,Walking,60,200
2026-03-03,Running,25,270
2026-03-03,Weight Training,50,400
2026-03-04,Yoga,60,220
2026-03-04,Cycling,35,300
2026-03-05,Running,45,450
2026-03-05,Walking,30,120
2026-03-06,Weight Training,55,420
2026-03-06,Cycling,50,380
2026-03-07,Yoga,40,160
2026-03-07,Running,35,320
2026-03-08,Walking,70,250
2026-03-08,Cycling,45,360
2026-03-09,Weight Training,60,500
2026-03-09,Running,30,310
2026-03-10,Yoga,50,200
2026-03-10,Walking,40,150
2026-03-11,Cycling,55,420
2026-03-11,Running,20,210
2026-03-12,Weight Training,65,520
2026-03-12,Yoga,30,130
2026-03-13,Running,50,480
2026-03-13,Walking,60,230
2026-03-14,Cycling,35,290
2026-03-14,Yoga,45,170
