Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST100000,59,117603,76618,615,36,No
CUST100001,49,110649,125970,662,36,Yes
CUST100002,35,125470,40466,638,36,No
CUST100003,63,66024,27204,766,120,No
CUST100004,28,77391,17764,687,72,No
CUST100005,41,32084,20339,801,180,No
CUST100006,59,106923,51091,709,48,No
CUST100007,39,40806,43659,697,240,No
CUST100008,43,75419,60708,685,120,No
CUST100009,31,42567,34653,737,60,No
CUST100010,31,55278,40459,558,24,Yes
CUST100011,44,49068,14321,686,36,No
CUST100012,56,54803,35349,675,360,No
CUST100013,60,56522,67798,731,48,No
CUST100014,44,56293,58276,667,48,No
CUST100015,23,90833,99322,607,36,No
CUST100016,42,42378,43362,681,180,No
CUST100017,22,75514,22884,604,36,No
CUST100018,44,100449,42937,545,48,No
CUST100019,64,57170,11612,731,60,No
CUST100020,50,52052,26209,721,60,No
CUST100021,58,64237,19824,713,60,No
CUST100022,22,99493,66938,771,60,No
CUST100023,41,74853,65656,633,180,No
CUST100024,53,56720,60946,580,180,Yes
CUST100025,32,82097,77928,675,120,No
CUST100026,42,42443,48325,656,24,Yes
CUST100027,64,87034,22098,621,120,Yes
CUST100028,45,80215,17020,674,24,No
CUST100029,47,62305,53666,637,24,No
CUST100030,62,49035,23995,551,240,No
CUST100031,48,47833,21692,649,180,No
CUST100032,36,83370,44260,600,60,No
CUST100033,35,100725,47320,696,180,No
CUST100034,64,54067,38465,634,360,No
CUST100035,23,81460,52146,758,72,No
CUST100036,57,17824,12698,792,72,No
CUST100037,27,55385,48335,728,120,No
CUST100038,41,69224,40644,571,36,No
CUST100039,29,47258,21328,785,36,No
CUST100040,59,46587,17060,790,120,No
CUST100041,38,53306,29290,681,48,No
CUST100042,24,77305,72806,773,36,Yes
CUST100043,45,65317,62489,641,48,No
CUST100044,34,15000,13004,549,48,Yes
CUST100045,29,16982,7371,627,360,No
CUST100046,46,54828,43209,801,84,No
CUST100047,22,81442,62767,576,60,No
CUST100048,40,15000,10264,680,360,No
CUST100049,48,57507,43129,682,240,No
CUST100050,27,56844,39324,644,60,No
CUST100051,64,104708,80149,649,240,No
CUST100052,28,60374,55273,685,60,No
CUST100053,55,79575,24639,641,36,No
CUST100054,34,73531,69827,580,36,Yes
CUST100055,37,16736,5621,695,84,Yes
CUST100056,56,89205,23785,755,60,No
CUST100057,60,75385,88659,741,84,No
CUST100058,24,82707,95691,623,84,No
CUST100059,22,168156,43794,592,12,Yes
CUST100060,26,17897,11512,660,24,No
CUST100061,62,113117,43691,790,60,No
CUST100062,24,62814,43049,725,36,No
CUST100063,49,77183,79512,729,72,No
CUST100064,38,68862,79233,742,60,No
CUST100065,46,59394,49550,709,72,Yes
CUST100066,64,55754,30882,688,48,No
CUST100067,54,78238,62851,726,72,Yes
CUST100068,30,32071,16420,642,180,Yes
CUST100069,56,88764,98512,581,360,No
CUST100070,34,59595,63791,731,180,No
CUST100071,51,41748,31655,767,60,No
CUST100072,35,58750,30832,602,36,No
CUST100073,28,101429,50044,738,84,No
CUST100074,34,56617,13215,798,240,No
CUST100075,43,78961,80210,680,36,No
CUST100076,60,51726,33642,623,36,No
CUST100077,41,88948,46710,689,36,No
CUST100078,36,87138,58479,641,120,No
CUST100079,65,116215,118393,637,60,Yes
CUST100080,38,65611,21298,710,24,No
CUST100081,44,86716,91716,568,180,Yes
CUST100082,46,72452,79517,579,60,Yes
CUST100083,45,102397,117419,681,48,No
CUST100084,65,52029,31087,678,48,No
CUST100085,61,88625,36969,704,48,No
CUST100086,49,65133,37363,811,60,No
CUST100087,35,68395,36449,687,48,No
CUST100088,65,72294,27194,722,60,No
CUST100089,21,76306,61599,612,120,Yes
CUST100090,45,67094,45397,734,84,No
CUST100091,27,75368,80320,643,48,No
CUST100092,29,109453,25405,685,60,No
CUST100093,44,94636,79860,672,180,No
CUST100094,21,91729,88330,752,24,No
CUST100095,64,58612,56237,588,24,Yes
CUST100096,28,47769,51881,520,60,Yes
CUST100097,44,93883,87220,665,72,No
CUST100098,31,91901,103647,713,36,No
CUST100099,37,106817,56897,691,120,No
CUST100100,28,54900,38606,766,84,No
CUST100101,55,64261,13757,711,240,No
CUST100102,55,29013,6004,641,36,Yes
CUST100103,53,60188,26490,517,120,No
CUST100104,25,94914,28551,663,24,No
CUST100105,62,58338,26848,752,72,No
CUST100106,59,86012,32430,653,60,No
CUST100107,61,65237,14908,682,60,No
CUST100108,48,78101,86638,709,180,No
CUST100109,27,41308,8601,609,12,No
CUST100110,29,72130,67520,724,60,No
CUST100111,28,15000,5282,795,36,Yes
CUST100112,32,65328,72660,668,120,No
CUST100113,54,29238,31951,601,12,No
CUST100114,53,100150,85518,675,180,No
CUST100115,43,89435,78008,524,180,No
CUST100116,44,81667,16769,704,180,No
CUST100117,57,108025,127996,712,36,Yes
CUST100118,55,46277,49879,797,72,No
CUST100119,64,113684,124496,666,12,No
CUST100120,60,93305,80172,709,180,No
CUST100121,42,64086,34913,620,120,No
CUST100122,47,98391,107605,655,60,No
CUST100123,55,42343,20812,573,120,No
CUST100124,21,49387,37668,666,24,No
CUST100125,55,54785,16421,659,60,No
CUST100126,57,56776,63700,701,48,No
CUST100127,34,43586,14853,636,360,No
CUST100128,23,100577,42735,686,180,No
CUST100129,21,63529,48164,657,120,No
CUST100130,25,78813,75983,657,240,No
CUST100131,46,55741,45671,686,48,No
CUST100132,34,24485,10581,683,240,No
CUST100133,59,76751,15423,733,48,Yes
CUST100134,47,22194,21243,672,120,No
CUST100135,29,68284,80931,656,120,Yes
CUST100136,35,35792,36147,667,12,Yes
CUST100137,35,119682,79015,630,60,No
CUST100138,46,92784,102412,655,12,Yes
CUST100139,62,72644,44302,822,360,No
CUST100140,33,101593,73648,616,24,No
CUST100141,52,48842,33072,660,60,No
CUST100142,59,83587,54133,653,120,No
CUST100143,52,74995,73134,663,36,No
CUST100144,24,76601,55671,657,60,No
CUST100145,50,101809,52606,700,72,No
CUST100146,57,88312,40461,560,36,No
CUST100147,43,77218,18358,753,120,No
CUST100148,59,28628,22421,724,48,No
CUST100149,65,45999,19778,593,36,No
CUST100150,35,66932,23301,521,60,Yes
CUST100151,63,72334,61761,612,60,No
CUST100152,49,41745,36786,663,240,No
CUST100153,56,130292,124058,850,180,Yes
CUST100154,33,107910,75923,718,60,No
CUST100155,52,85053,93053,553,48,Yes
CUST100156,27,71801,81591,632,48,No
CUST100157,42,64695,65172,676,36,No
CUST100158,48,46202,38606,698,60,No
CUST100159,22,71937,36236,588,180,No
CUST100160,62,76444,90429,671,48,No
CUST100161,65,38956,18470,630,36,No
CUST100162,26,78354,31550,603,60,No
CUST100163,48,66119,42459,698,24,No
CUST100164,48,22305,5729,734,120,No
CUST100165,64,48490,57145,739,60,No
CUST100166,64,59660,47038,720,60,No
CUST100167,40,117192,88709,645,48,No
CUST100168,50,83914,71813,730,240,No
CUST100169,31,36613,25520,702,24,Yes
CUST100170,48,82151,19064,689,180,No
CUST100171,45,31317,25439,637,60,No
CUST100172,59,97067,88930,645,180,No
CUST100173,53,58222,35908,685,120,No
CUST100174,21,67659,64770,850,24,No
CUST100175,47,103145,44043,701,180,No
CUST100176,33,37821,15933,637,84,No
CUST100177,61,35072,12676,622,12,No
CUST100178,23,55410,31694,646,36,No
CUST100179,59,95959,100470,832,72,No
CUST100180,26,32016,32910,652,84,Yes
CUST100181,28,15000,8742,743,120,No
CUST100182,47,58721,46338,654,120,No
CUST100183,29,83794,77159,698,84,Yes
CUST100184,57,100007,44124,735,120,No
CUST100185,53,58421,21507,640,72,No
CUST100186,62,59714,69991,635,36,No
CUST100187,64,98848,80814,796,240,Yes
CUST100188,44,23256,27475,749,12,Yes
CUST100189,35,60287,32420,735,60,No
CUST100190,52,74761,67512,735,120,No
CUST100191,52,81230,34328,712,60,No
CUST100192,44,57255,26406,821,12,No
CUST100193,61,70861,50446,683,24,No
CUST100194,32,15000,7794,720,84,No
CUST100195,59,53544,19684,578,360,No
CUST100196,22,81338,37650,622,60,No
CUST100197,23,45443,10713,596,60,Yes
CUST100198,57,71475,64644,769,48,No
CUST100199,37,81172,56180,501,36,No
CUST100200,22,61436,18077,652,12,No
CUST100201,22,74262,27603,470,36,No
CUST100202,48,45932,13896,622,60,No
CUST100203,43,64835,52684,646,36,No
CUST100204,57,85255,25083,777,24,No
CUST100205,52,73924,70544,708,120,Yes
CUST100206,53,55337,12202,622,180,No
CUST100207,21,75605,33975,755,240,No
CUST100208,39,87865,95831,681,72,No
CUST100209,22,18751,17223,683,24,Yes
CUST100210,64,98977,27018,596,120,No
CUST100211,46,61594,62895,611,24,No
CUST100212,52,80637,55884,622,84,No
CUST100213,26,99931,104606,683,120,No
CUST100214,52,35708,28593,685,120,Yes
CUST100215,24,52264,46088,788,360,No
CUST100216,31,62786,74935,707,120,No
CUST100217,37,50406,21792,490,84,No
CUST100218,58,113373,93413,698,36,No
CUST100219,44,48581,32079,578,240,Yes
CUST100220,25,56111,13436,612,36,No
CUST100221,54,75110,16109,623,240,No
CUST100222,26,39946,12752,634,48,No
CUST100223,42,60108,51037,584,36,No
CUST100224,31,77936,59790,694,180,No
CUST100225,36,61678,46470,581,12,No
CUST100226,53,67665,15689,705,180,No
CUST100227,29,56767,37994,837,36,No
CUST100228,26,32138,36143,587,180,Yes
CUST100229,36,78040,46636,660,84,No
CUST100230,49,113873,93936,503,84,Yes
CUST100231,23,70460,69038,659,60,No
CUST100232,40,75632,74416,725,24,Yes
CUST100233,56,87318,62806,730,180,No
CUST100234,39,38267,40485,685,36,Yes
CUST100235,46,112563,66567,742,60,No
CUST100236,23,75058,81715,850,72,Yes
CUST100237,39,110796,48775,800,60,No
CUST100238,40,51674,24815,643,36,No
CUST100239,52,115452,29223,578,36,No
CUST100240,27,89379,88984,652,24,No
CUST100241,61,83826,51725,614,180,No
CUST100242,53,75851,32549,712,12,Yes
CUST100243,60,63787,27543,597,360,No
CUST100244,59,100013,110154,675,36,No
CUST100245,38,73509,76002,739,24,Yes
CUST100246,60,20823,15691,673,72,Yes
CUST100247,21,42070,34334,614,24,No
CUST100248,31,65354,44070,762,72,No
CUST100249,48,77750,46002,548,180,No
CUST100250,45,68585,76505,657,12,Yes
CUST100251,43,100474,32716,677,120,No
CUST100252,51,21222,13125,681,60,Yes
CUST100253,50,73590,40074,693,36,No
CUST100254,62,24551,17140,723,36,No
CUST100255,55,88993,58525,678,240,No
CUST100256,27,67639,48625,654,24,No
CUST100257,36,80490,27360,651,180,No
CUST100258,46,48403,34518,637,60,No
CUST100259,22,101987,45121,735,12,No
CUST100260,21,96043,36912,635,60,No
CUST100261,32,84589,22402,739,180,No
CUST100262,25,66762,64269,681,120,No
CUST100263,57,84496,53016,644,60,No
CUST100264,52,52328,43257,723,180,No
CUST100265,29,91389,84772,629,24,No
CUST100266,61,111237,97813,725,240,No
CUST100267,55,96765,64881,695,180,No
CUST100268,39,51760,30430,638,120,No
CUST100269,36,79035,45521,717,180,No
CUST100270,23,37671,31645,718,60,No
CUST100271,40,84310,58578,761,84,No
CUST100272,44,81265,85258,748,72,No
CUST100273,53,23255,24992,714,48,Yes
CUST100274,44,40955,15176,601,72,Yes
CUST100275,31,62922,21156,850,36,No
CUST100276,28,62479,51883,582,60,No
CUST100277,56,39763,19930,746,48,No
CUST100278,58,79724,17425,710,24,No
CUST100279,60,76287,83049,598,48,No
CUST100280,40,65143,27810,671,180,Yes
CUST100281,55,51105,57712,674,60,No
CUST100282,45,96218,88274,771,120,Yes
CUST100283,55,111385,107225,630,36,No
CUST100284,45,57911,23249,662,60,No
CUST100285,49,54696,23749,516,24,No
CUST100286,38,82280,59346,801,36,No
CUST100287,38,61049,22716,605,72,No
CUST100288,22,66515,33619,703,72,No
CUST100289,55,88491,46145,673,36,No
CUST100290,36,22266,8008,673,60,No
CUST100291,61,102958,41717,737,180,No
CUST100292,56,71817,70995,797,36,Yes
CUST100293,53,59713,21926,698,12,No
CUST100294,24,67769,15482,726,84,No
CUST100295,53,69061,57276,703,24,Yes
CUST100296,34,26720,31422,751,360,No
CUST100297,41,107373,57038,648,72,No
CUST100298,40,71033,22635,755,60,No
CUST100299,28,81075,62459,758,60,No
CUST100300,27,93789,103764,756,72,No
CUST100301,23,44471,43762,634,24,No
CUST100302,37,81837,67312,668,240,No
CUST100303,53,63309,32608,697,72,No
CUST100304,32,91169,67636,584,36,No
CUST100305,42,16819,5000,792,72,Yes
CUST100306,42,67523,59349,679,36,No
CUST100307,50,54929,50815,700,12,No
CUST100308,58,80807,94143,640,72,No
CUST100309,58,81751,37638,587,84,No
CUST100310,65,52309,11427,638,72,No
CUST100311,28,52196,38918,695,36,No
CUST100312,47,67233,60966,727,72,No
CUST100313,47,47584,47128,691,24,Yes
CUST100314,54,91050,35850,704,72,No
CUST100315,41,60770,28061,656,60,No
CUST100316,50,15000,10689,715,84,Yes
CUST100317,53,60629,32170,784,180,No
CUST100318,48,44036,46701,729,180,No
CUST100319,53,29218,19686,737,360,No
CUST100320,25,39064,39048,701,360,No
CUST100321,39,72735,56778,575,120,No
CUST100322,24,103216,100438,607,360,No
CUST100323,55,77830,41458,712,180,No
CUST100324,37,54837,56560,679,120,No
CUST100325,64,81398,38629,711,24,No
CUST100326,48,58523,43664,797,12,No
CUST100327,50,52635,21791,731,180,No
CUST100328,49,41141,27792,768,60,No
CUST100329,26,26204,13578,687,180,Yes
CUST100330,55,60252,28120,623,48,No
CUST100331,61,73951,86300,676,60,No
CUST100332,57,67584,24335,624,120,No
CUST100333,44,59601,58846,789,240,Yes
CUST100334,49,46356,54893,735,24,No
CUST100335,51,85206,18737,716,180,No
CUST100336,55,37072,33329,767,120,Yes
CUST100337,53,89401,40491,539,48,No
CUST100338,41,44945,10809,721,48,No
CUST100339,52,51189,30861,588,12,Yes
CUST100340,43,33330,37837,679,12,No
CUST100341,53,57465,12169,658,60,No
CUST100342,23,94383,74363,726,24,No
CUST100343,38,82891,58139,696,36,No
CUST100344,45,94461,101393,774,180,No
CUST100345,62,83054,23587,638,72,No
CUST100346,51,42408,37384,730,72,No
CUST100347,23,61730,54329,691,36,Yes
CUST100348,60,50495,43884,566,180,No
CUST100349,44,103264,117962,616,180,No
CUST100350,52,40080,41005,670,60,Yes
CUST100351,42,92342,22344,758,240,Yes
CUST100352,43,92324,61957,712,180,No
CUST100353,22,115741,69208,598,120,Yes
CUST100354,47,59758,30485,670,120,No
CUST100355,62,87808,57193,821,24,No
CUST100356,22,127041,74217,688,36,No
CUST100357,46,54559,34500,657,24,No
CUST100358,37,31624,37293,714,12,No
CUST100359,60,23000,6639,733,36,Yes
CUST100360,53,87818,98552,648,180,No
CUST100361,29,22921,15592,715,36,No
CUST100362,63,60692,49995,657,360,No
CUST100363,59,80933,83376,730,72,No
CUST100364,49,74629,41827,692,36,No
CUST100365,62,80636,50835,714,60,No
CUST100366,46,75557,46053,627,36,No
CUST100367,55,101972,58606,623,360,No
CUST100368,45,46192,51990,746,180,No
CUST100369,44,53075,54610,674,12,No
CUST100370,33,50684,15661,700,240,No
CUST100371,27,90755,27964,659,120,No
CUST100372,56,92510,58084,743,24,No
CUST100373,65,81281,24275,637,84,No
CUST100374,40,99587,81571,671,84,Yes
CUST100375,21,40549,13936,735,36,No
CUST100376,28,111681,80675,762,120,No
CUST100377,36,108081,22397,643,24,No
CUST100378,34,88391,45662,817,60,No
CUST100379,32,114545,100478,702,12,No
CUST100380,43,28584,19553,607,360,No
CUST100381,35,56889,67031,706,120,Yes
CUST100382,48,51617,55442,653,36,No
CUST100383,54,88037,49219,710,48,No
CUST100384,22,43746,10739,677,36,No
CUST100385,52,88937,92995,685,120,No
CUST100386,43,104263,115861,616,24,No
CUST100387,42,87380,89182,749,180,No
CUST100388,45,77094,25283,599,240,No
CUST100389,42,45303,54269,602,84,No
CUST100390,42,48829,22392,706,36,No
CUST100391,62,101240,93567,792,60,Yes
CUST100392,26,89484,99151,655,60,Yes
