Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
HH001,65,21012,Primary,7,Yes,Urban
HH002,62,26140,Secondary,6,Yes,Urban
HH003,70,49446,Graduate,6,No,Urban
HH004,35,45189,Graduate,8,No,Urban
HH005,30,42541,Secondary,8,Yes,Rural
HH006,59,24403,Primary,8,No,Urban
HH007,70,33668,Primary,2,Yes,Urban
HH008,49,43909,Secondary,4,Yes,Rural
HH009,69,143227,Post-Grad,3,Yes,Urban
HH010,54,56500,Secondary,4,Yes,Urban
HH011,27,39337,Graduate,6,No,Urban
HH012,66,50071,Secondary,3,Yes,Rural
HH013,62,46175,Secondary,3,No,Urban
HH014,28,149192,Post-Grad,5,Yes,Rural
HH015,49,51476,Graduate,8,Yes,Urban
HH016,68,98469,Post-Grad,5,Yes,Rural
HH017,25,83416,Post-Grad,6,Yes,Rural
HH018,65,30016,Secondary,3,Yes,Rural
HH019,56,23894,Primary,3,Yes,Urban
HH020,56,43414,Graduate,5,Yes,Rural
HH021,58,130686,Post-Grad,8,Yes,Rural
HH022,50,177914,Post-Grad,6,No,Urban
HH023,40,21378,Secondary,3,Yes,Urban
HH024,29,39417,Graduate,2,No,Urban
HH025,57,51812,Secondary,3,No,Urban
HH026,55,41352,Graduate,5,No,Rural
HH027,51,26449,Secondary,7,No,Urban
HH028,40,29573,Primary,3,No,Rural
HH029,40,172898,Post-Grad,8,Yes,Urban
HH030,66,158771,Post-Grad,8,Yes,Urban
HH031,51,46282,Secondary,3,No,Urban
HH032,49,38694,Secondary,7,No,Urban
HH033,37,57957,Secondary,2,No,Urban
HH034,28,45317,Graduate,6,Yes,Urban
HH035,29,61461,Graduate,6,Yes,Urban
HH036,64,33540,Primary,4,No,Urban
HH037,67,60938,Graduate,7,No,Rural
HH038,45,141416,Post-Grad,6,Yes,Urban
HH039,59,28680,Secondary,2,Yes,Rural
HH040,43,29800,Primary,7,Yes,Rural
HH041,67,16400,Primary,2,Yes,Rural
HH042,43,80055,Graduate,8,No,Rural
HH043,41,115518,Post-Grad,8,No,Urban
HH044,25,37167,Secondary,5,No,Urban
HH045,32,34643,Primary,8,No,Urban
HH046,52,22101,Primary,8,Yes,Rural
HH047,38,58178,Graduate,6,No,Urban
HH048,40,83509,Post-Grad,7,No,Rural
HH049,67,163202,Post-Grad,7,Yes,Rural
HH050,27,120332,Post-Grad,4,No,Urban
HH051,39,18328,Primary,8,Yes,Rural
HH052,47,56702,Graduate,2,No,Urban
HH053,62,138193,Post-Grad,5,No,Rural
HH054,52,60244,Graduate,6,Yes,Rural
HH055,27,95658,Graduate,6,Yes,Rural
HH056,52,33765,Primary,7,Yes,Rural
HH057,57,41376,Secondary,4,Yes,Urban
HH058,51,75338,Graduate,4,No,Urban
HH059,44,58009,Secondary,4,No,Rural
HH060,53,87018,Graduate,8,Yes,Urban
HH061,43,41966,Secondary,8,Yes,Rural
HH062,39,38028,Graduate,5,Yes,Rural
HH063,51,151272,Post-Grad,5,No,Rural
HH064,40,34532,Primary,8,Yes,Rural
HH065,39,34803,Primary,6,Yes,Urban
HH066,54,27225,Primary,6,No,Rural
HH067,64,89432,Graduate,6,No,Urban
HH068,55,38173,Secondary,6,No,Urban
HH069,42,35367,Secondary,4,Yes,Urban
HH070,34,30014,Secondary,2,No,Rural
HH071,46,24080,Secondary,5,No,Urban
HH072,61,43052,Secondary,5,No,Urban
HH073,56,51827,Secondary,4,No,Urban
HH074,54,178872,Post-Grad,5,Yes,Urban
HH075,66,31909,Secondary,5,No,Urban
HH076,54,38235,Secondary,5,No,Urban
HH077,55,29675,Primary,3,Yes,Urban
HH078,26,79973,Post-Grad,3,Yes,Rural
HH079,67,19142,Primary,8,No,Urban
HH080,63,98223,Graduate,2,Yes,Rural
